#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
5.62,962,5.23192
-0.59,441,6.927964
-0.1,490,8.836247
-1.05,395,10.349682
1.95,595,12.681027
1.24,624,15.123153
2.42,642,17.63866
0.97,597,19.971866
-1.38,362,21.387536
1.78,678,24.058389
1.83,583,26.329569
-0.47,453,28.104793
-0.84,416,29.737853
1.2,620,32.152745
-0.15,485,34.03006
-0.4,460,35.837265
-0.57,443,37.584499
-0.79,421,39.222642
0.37,537,44.163819
0.24,524,46.171086
2.37,737,48.945375
0.86,586,51.181112
0.96,596,53.445856
-0.87,413,55.040748
0.61,561,57.203198
0.33,533,59.199457
1.86,686,61.794036
0.51,551,63.904598
1.54,654,66.398313
1.9,590,68.659699
-0.53,447,70.368615
-0.42,458,72.112637
1.16,616,74.558985
1.1,610,76.873815
0.46,546,78.942019
2.24,724,84.311635
3.55,855,87.612254
1.61,661,90.126095
2.14,714,92.821694
-0.79,421,94.384969
-0.5,450,96.070536
0.37,537,98.096117
0.1,510,100.056774
0.4,540,102.166535
1.0,600,104.455647
0.87,587,106.711208
0.06,506,108.629746
-0.07,493,110.515476
0.1,510,112.447025
-0.39,461,114.161855
0.31,531,116.205388
1.48,648,118.657776
0.34,534,120.677391
-0.89,411,124.842565
0.45,545,126.929499
-0.68,432,128.609836
0.37,537,130.696726
-0.91,409,132.269479
-0.56,444,133.91448
8.56,1156,138.226418
0.82,582,140.47013
-0.4,460,142.238525
0.4,540,144.291236
1.49,649,146.723255
1.98,598,149.012331
0.72,572,151.168815
1.92,692,153.760026
3.65,765,156.671465
0.63,563,158.806686
3.49,849,162.075539
2.21,721,167.463183
0.13,513,169.445243
0.92,592,171.671423
-0.47,453,173.437418
0.59,559,175.61781
0.33,533,177.629171
1.75,675,180.26109
1.8,680,182.860445
0.62,562,184.985027
2.41,641,187.406424
1.36,636,189.826663
0.19,519,191.842052
1.31,631,194.279296
2.88,688,196.918139
-0.47,453,198.659813
3.19,719,201.413539
0.48,548,203.47523
2.15,715,208.844894
-0.91,409,210.380121
1.33,633,212.761527
4.48,948,216.389052
-0.15,485,218.231194
0.35,535,220.329153
1.92,692,222.99554
1.57,657,225.529185
-1.18,382,226.943331
1.64,664,229.454535
0.52,552,231.550258
0.05,505,233.413961
0.58,558,235.543658
1.09,609,237.907652
0.11,511,239.817581
0.54,554,241.898876
1.53,653,244.381752
0.99,599,249.309616
3.92,892,252.687027
2.85,685,255.317324
0.02,502,257.259402
0.14,514,259.211404
1.34,634,261.610462
-0.15,485,263.427859
3.85,885,266.790752
0.16,516,268.73095
0.14,514,270.711113
-0.11,489,272.537987
0.07,507,274.453827
1.31,631,276.869079
-0.36,464,278.656541
2.77,777,281.630827
0.66,566,283.739571
2.6,660,288.882836
1.7,670,291.423046
0.48,548,293.504979
0.71,571,295.646243
0.66,566,297.767711
2.48,748,300.670465
1.02,602,302.949746
1.11,611,305.259742
-0.84,416,306.806154
0.11,511,308.747243
0.47,547,310.864026
3.14,714,313.627621
0.26,526,315.670859
0.78,578,317.862859
2.14,714,320.556461
2.01,701,323.213229
0.04,504,325.140725
1.41,641,330.199307
0.91,591,332.432334
-0.14,486,334.280976
-0.74,426,335.919244
0.37,537,337.935851
-0.7,430,339.601456
-0.27,473,341.441942
0.88,588,343.667369
1.81,681,346.264781
1.78,578,348.4359
0.9,590,350.654991
0.39,539,352.738938
0.25,525,354.763537
-0.16,484,356.660388
-0.21,479,358.460752
-1.2,380,359.935951
0.22,522,361.940381
0.21,521,363.912776
-0.39,461,365.721306
0.04,504,370.312485
0.16,516,372.291857
0.81,581,374.535528
0.53,553,376.644574
0.42,542,378.730935
0.67,567,380.895401
-0.7,430,382.550745
1.17,617,384.847224
0.26,526,386.878644
1.64,664,389.45357
0.06,506,391.348748
-0.93,407,392.887726
0.67,567,395.0206
0.81,581,397.229357
-0.67,433,398.896314
1.41,641,401.379551
-0.42,458,403.177427
1.17,617,405.532074
-0.53,447,407.239722
1.18,618,412.168615
1.62,662,414.71941
1.72,672,417.303714
-0.18,482,419.137891
0.31,531,421.169796
1.75,675,423.743628
-0.28,472,425.525698
0.27,527,427.567461
1.54,654,430.05495
0.65,565,432.233123
1.77,677,434.819121
-0.76,424,436.418557
0.34,534,438.483643
1.28,628,440.901181
0.8,580,443.120095
0.83,583,445.286678
1.28,628,447.68715
0.8,580,452.529209
2.62,762,455.400775
-0.08,492,457.252701
0.4,540,459.328827
-0.65,435,461.033119
1.24,624,463.450765
-0.46,454,465.158886
0.05,505,467.099849
1.56,656,469.648961
1.05,605,471.951644
1.48,648,474.428904
3.76,776,477.429166
0.18,518,479.42542
3.36,736,482.204656
0.84,584,484.442514
-0.21,479,486.293862
0.88,588,488.539646
3.71,771,494.456174
0.12,512,496.429484
2.86,686,499.025808
0.01,501,500.911809
2.86,686,503.456484
1.22,622,505.850707
2.83,783,508.870813
0.99,599,511.151035
1.77,677,513.748694
2.43,743,516.601263
1.41,641,519.045345
-0.23,477,520.903096
-0.64,436,522.554274
2.54,654,525.031471
0.58,558,527.131305
0.58,558,529.238298
3.56,856,535.079923
1.77,677,537.675161
0.9,590,539.874421
-0.43,457,541.618586
0.52,552,543.680384
-0.16,484,545.561813
1.4,640,548.040382
3.14,714,550.802817
0.56,556,552.910758
0.5,550,555.00012
2.81,681,557.554919
0.92,592,559.857474
-0.27,473,561.673796
1.71,671,564.302307
-0.78,422,565.958632
1.45,645,568.436825
2.01,701,571.138784
3.76,876,577.165803
0.95,595,579.418232
1.4,640,581.884051
0.18,518,583.854077
-0.41,459,585.574739
-0.4,460,587.323646
1.86,686,589.93474
3.02,702,592.60071
-0.04,496,594.455289
0.91,591,596.683162
0.76,576,598.84762
0.24,524,600.822486
3.66,766,603.666741
1.88,688,606.256125
-0.48,452,608.015045
2.33,733,610.799875
0.75,575,615.747424
3.68,868,619.062637
0.82,582,621.288151
2.19,719,624.080865
0.55,555,626.183549
0.97,597,628.428847
-0.3,470,630.206462
0.47,547,632.275891
0.61,561,634.409945
-0.07,493,636.314519
1.66,666,638.851954
2.35,735,641.637915
-0.74,426,643.28161
-0.24,476,645.071298
0.71,571,647.245429
2.12,712,649.961425
-0.09,491,651.803007
-0.22,478,656.248022
0.51,551,658.329573
-0.04,496,660.214045
2.44,744,663.020094
0.87,587,665.205425
1.02,602,667.518478
1.12,612,669.892492
3.56,856,673.092239
-0.91,409,674.640386
0.68,568,676.77589
1.41,641,679.200132
0.74,574,681.337957
1.69,669,683.802661
-0.97,403,685.335854
1.31,631,687.669849
0.39,539,689.715007
-0.73,427,691.344734
-0.41,459,695.710675
1.26,626,698.10331
-0.06,494,699.989179
1.53,653,702.467533
1.42,642,704.848988
0.0,500,706.748534
-0.43,457,708.511992
1.85,685,711.100142
-0.89,411,712.657218
1.86,686,715.266327
-0.71,429,716.918387
0.66,566,719.031605
1.09,609,721.351218
3.33,833,724.536509
1.07,607,726.890025
-0.54,446,728.53238
-0.38,462,730.347858
2.03,703,733.130238
0.5,550,738.060025
-0.21,479,739.934281
-0.5,450,741.677544
1.65,665,744.303044
2.42,742,747.129535
1.04,604,749.524251
1.95,695,752.191047
2.57,657,754.738694
2.24,724,757.538401
-0.58,442,759.20912
-0.27,473,761.056022
1.03,603,763.377969
-0.64,436,765.086704
0.48,548,767.172891
-1.07,393,768.728502
1.61,661,771.379765
-0.25,475,773.19313
0.2,520,775.220976
-0.07,493,779.872592
2.27,627,782.430206
1.72,672,784.980103
-0.16,484,786.872395
-0.51,449,788.619461
0.07,507,790.592385
-0.92,408,792.15997
0.09,509,794.159312
1.97,697,796.800308
2.53,753,799.670133
1.65,665,802.186893
0.33,533,804.211639
0.74,574,806.368239
1.1,610,808.618649
0.05,505,810.564674
-0.4,460,812.300144
1.28,628,814.67747
0.14,514,819.292851
4.43,843,822.49599
0.39,539,824.504386
-1.11,389,825.961516
-0.5,450,827.650465
5.34,1034,831.574537
-1.11,389,833.053843
2.44,744,835.841345
0.71,571,838.061259
0.86,586,840.286702
0.68,568,842.45336
0.22,522,844.412941
-0.56,444,846.132244
1.15,615,848.456441
0.88,588,850.723404
0.04,504,852.673211
-0.86,414,854.218071
-0.72,428,855.900929
3.93,893,862.022847
-1.07,393,863.554337
-0.32,468,865.314675
2.52,752,868.165164
5.43,943,871.844215
0.67,567,874.160251
0.29,529,876.308264
3.84,784,879.393036
-0.43,457,881.147786
0.96,596,883.483954
0.85,585,885.726705
-0.5,450,887.455946
-0.06,494,889.359732
0.96,596,891.634519
1.49,649,894.12547
0.15,515,896.125121
1.2,620,898.469523
1.44,644,903.536513
2.91,691,906.19225
0.45,545,908.361376
-0.11,489,910.259869
4.06,906,913.69905
0.5,550,915.884223
1.1,610,918.217047
1.42,642,920.636763
0.13,513,922.581175
-0.4,460,924.32436
-0.28,472,926.169692
-0.29,471,927.973789
3.74,874,931.418071
0.46,546,933.532185
0.88,588,935.872784
2.66,766,938.795223
1.85,685,944.380134
-0.11,489,946.219399
0.11,511,948.122911
1.38,538,950.197565
-0.15,485,952.040538
-0.13,487,953.893621
-0.17,483,955.7549
3.54,754,958.680984
2.0,700,961.403931
4.36,836,964.627093
3.13,713,967.304651
2.14,714,970.046363
0.3,530,972.067846
-0.27,473,973.858918
4.0,700,976.506639
3.03,803,979.546028
4.26,826,985.294955
5.74,974,988.907413
0.39,539,990.997036
0.51,551,993.091778
-0.79,421,994.710998
-0.3,470,996.429684
3.04,804,999.440684
3.58,858,1002.713427
1.31,631,1005.09013
0.78,578,1007.275939
0.77,577,1009.437544
1.22,622,1011.794036
-0.4,460,1013.490656
1.98,698,1016.111557
2.4,640,1018.483739
0.78,578,1020.708964
-0.06,494,1025.144583
3.15,715,1027.89004
-0.4,460,1029.628078
-1.29,371,1031.042716
1.16,616,1033.355953
-0.19,481,1035.177394
-1.0,400,1036.686651
3.3,730,1039.443376
3.73,773,1042.416234
5.23,1023,1046.278724
1.32,632,1048.698137
0.23,523,1050.696719
0.42,542,1052.743994
0.81,581,1054.891698
0.19,519,1056.903532
0.31,531,1058.916178
1.01,601,1061.213483
1.35,635,1066.255402
-0.49,451,1067.957339
-0.64,436,1069.614108
0.31,531,1071.665721
3.51,751,1074.519296
0.1,510,1076.475765
1.19,619,1078.782878
0.84,584,1081.014894
0.4,540,1083.048025
-0.72,428,1084.66949
-0.2,480,1086.492422
0.56,556,1088.631173
2.04,604,1090.912608
1.76,676,1093.462683
-0.63,437,1095.134243
-0.26,474,1096.914598
2.65,765,1099.808092
1.45,645,1102.258239
0.71,571,1107.062967
0.75,575,1109.231012
0.77,577,1111.377038
1.85,685,1113.960719
1.63,663,1116.452409
-1.1,390,1117.930638
0.58,558,1120.073476
2.66,666,1122.595917
0.46,546,1124.684423
0.35,535,1126.741235
0.74,574,1128.94937
2.21,721,1131.6813
1.81,681,1134.214007
4.86,886,1137.595279
-0.33,467,1139.328926
3.96,796,1142.328957
-0.28,472,1146.725799
0.42,542,1148.765779
-0.02,498,1150.715755
2.5,750,1153.498936
1.59,659,1155.935364
3.68,868,1159.199499
2.85,685,1161.747029
0.14,514,1163.713673
-0.2,480,1165.527648
1.75,575,1167.681826
1.17,617,1170.022635
1.15,615,1172.391049
0.38,538,1174.408855
0.1,510,1176.293969
0.08,508,1178.197789
-0.21,479,1179.985081
1.5,650,1182.436498
0.32,532,1187.149819
0.93,593,1189.411243
2.79,779,1192.385504
0.16,516,1194.377726
1.22,522,1196.367592
1.41,641,1198.81632
-0.7,430,1200.422279
1.6,560,1202.524104
2.6,760,1205.470578
1.38,638,1207.874645
0.33,533,1209.91669
0.83,583,1212.156822
0.61,561,1214.284777
3.75,875,1217.601345
3.66,866,1220.911099
0.31,531,1222.97588
0.86,586,1227.788148
1.16,616,1230.108713
1.63,563,1232.230036
1.59,659,1234.719544
0.78,578,1236.860993
0.77,577,1238.92625
-0.69,431,1240.510761
-0.4,460,1242.179155
-0.29,471,1243.860124
0.12,512,1245.710337
5.53,953,1249.141779
0.54,554,1251.164883
1.11,611,1253.342187
-1.03,397,1254.785754
-0.21,479,1256.503787
-0.23,477,1258.236693
1.26,626,1260.513559
2.23,723,1265.528273
2.5,750,1268.237179
1.69,569,1270.329625
1.7,570,1272.431184
2.24,724,1275.095556
6.31,1031,1278.894474
3.16,716,1281.572913
0.85,585,1283.74102
0.72,572,1285.920472
1.57,657,1288.351446
1.35,635,1290.685484
0.8,580,1292.81334
0.21,521,1294.787434
2.24,724,1297.47618
0.64,564,1299.605347
3.81,781,1302.474986
2.66,766,1307.908466
-0.64,436,1309.549555
1.51,551,1311.621749
0.35,535,1313.55007
1.32,532,1315.517835
-0.41,459,1317.223146
0.06,506,1319.107414
-0.2,480,1320.864046
0.11,511,1322.737637
0.31,531,1324.652097
1.44,644,1327.058404
3.04,804,1329.99631
1.02,602,1332.18755
2.11,611,1334.415981
0.98,598,1336.641929
3.69,869,1339.876785
-0.03,497,1341.703861
1.34,634,1346.467694
1.85,585,1348.642867
2.59,659,1351.07201
1.35,635,1353.380561
0.37,537,1355.380378
1.71,671,1357.900703
-0.28,472,1359.680279
-0.86,414,1361.194039
-0.81,419,1362.759066
0.91,591,1364.927769
0.93,593,1367.117422
-0.1,490,1368.922745
2.0,700,1371.56006
-0.26,474,1373.313851
2.45,745,1376.054963
3.18,718,1378.713356
1.11,611,1380.952359
-0.47,453,1385.141585
1.17,517,1387.00118
-0.27,473,1388.772345
0.34,534,1390.737805
-0.32,468,1392.456378
2.54,654,1394.875546
1.64,664,1397.383387
-0.44,456,1399.071908
0.4,540,1401.132715
-0.06,494,1402.977771
1.99,699,1405.641715
1.06,606,1407.895159
0.63,563,1410.005471
-0.04,496,1411.870001
2.57,657,1414.264687
0.68,568,1416.427129
0.48,548,1418.491532
1.08,608,1420.755173
0.79,579,1425.611136
-0.41,459,1427.380738
1.4,640,1429.746902
4.28,928,1433.206913
0.42,542,1435.235181
0.73,573,1437.379362
2.96,696,1439.944522
1.16,616,1442.234352
1.8,680,1444.769692
0.03,503,1446.655058
0.59,559,1448.766119
0.37,537,1450.767994
0.01,501,1452.631722
2.16,716,1455.252748
1.55,655,1457.703719
0.18,518,1459.591221
0.59,559,1464.189433
1.48,648,1466.63611
2.38,738,1469.317478
1.56,656,1471.744082
3.11,711,1474.353804
1.45,645,1476.755442
2.33,633,1479.128223
0.69,569,1481.298357
-0.03,497,1483.140903
-0.17,483,1484.937398
-0.02,498,1486.837719
0.66,566,1488.945194
2.18,718,1491.633749
0.13,513,1493.526913
1.37,637,1495.867207
-0.16,484,1497.672095
2.19,619,1499.960546
1.98,698,1505.001769
1.03,603,1507.261486
0.63,563,1509.36918
-1.25,375,1510.733997
1.15,615,1512.953657
0.74,574,1515.057724
0.1,510,1516.952579
0.83,583,1519.111318
0.57,557,1521.190386
1.46,646,1523.606145
1.27,627,1525.890627
-0.54,446,1527.550239
0.9,590,1529.666893
0.52,552,1531.643913
-0.46,454,1533.294137
1.92,692,1535.83732
0.13,513,1537.724708
3.79,779,1542.997694
1.59,659,1545.395016
0.86,586,1547.529214
0.14,514,1549.412321
0.99,599,1551.600265
